lat,lng,iso2,city_ascii,admin_name
35.6870,139.7495,JP,Tokyo,Tōkyō
-6.1750,106.8275,ID,Jakarta,Jakarta
28.6100,77.2300,IN,Delhi,Delhi
23.1300,113.2600,CN,Guangzhou,Guangdong
19.0761,72.8775,IN,Mumbai,Mahārāshtra
14.5958,120.9772,PH,Manila,Manila
31.2286,121.4747,CN,Shanghai,Shanghai
-23.5504,-46.6339,BR,Sao Paulo,São Paulo
37.5667,126.9833,KR,Seoul,Seoul
19.4333,-99.1333,MX,Mexico City,Ciudad de México
22.5675,88.3700,IN,Kolkata,West Bengal
30.0444,31.2358,EG,Cairo,Al Qāhirah
24.8600,67.0100,PK,Karachi,Sindh
23.7289,90.3944,BD,Dhaka,Dhaka
40.6943,-73.9249,US,New York,New York
39.9067,116.3975,CN,Beijing,Beijing
13.7525,100.4942,TH,Bangkok,Krung Thep Maha Nakhon
22.5415,114.0596,CN,Shenzhen,Guangdong
55.7506,37.6175,RU,Moscow,Moskva
-34.6036,-58.3814,AR,Buenos Aires,Buenos Aires
6.4550,3.3841,NG,Lagos,Lagos
12.9789,77.5917,IN,Bangalore,Karnātaka
10.7756,106.7019,VN,Ho Chi Minh City,Hồ Chí Minh
34.6939,135.5022,JP,Osaka,Ōsaka
30.6600,104.0633,CN,Chengdu,Sichuan
41.0136,28.9550,TR,Istanbul,İstanbul
35.6889,51.3897,IR,Tehran,Tehrān
-4.3219,15.3119,CD,Kinshasa,Kinshasa
-22.9111,-43.2056,BR,Rio de Janeiro,Rio de Janeiro
13.0825,80.2750,IN,Chennai,Tamil Nādu
34.2611,108.9422,CN,Xi'an,Shaanxi
31.5497,74.3436,PK,Lahore,Punjab
29.5637,106.5504,CN,Chongqing,Chongqing
34.1141,-118.4068,US,Los Angeles,California
51.5072,-0.1275,GB,London,London
48.8567,2.3522,FR,Paris,Île-de-France
35.1038,118.3564,CN,Linyi,Shandong
23.0210,113.7520,CN,Dongguan,Guangdong
38.8740,115.4640,CN,Baoding,Hebei
17.3617,78.4747,IN,Hyderabad,Telangāna
39.1336,117.2054,CN,Tianjin,Tianjin
-12.0600,-77.0375,PE,Lima,Lima
30.5934,114.3046,CN,Wuhan,Hubei
32.9902,112.5285,CN,Nanyang,Henan
30.2670,120.1530,CN,Hangzhou,Zhejiang
35.1833,136.9000,JP,Nagoya,Aichi
-8.8383,13.2344,AO,Luanda,Luanda
23.0214,113.1216,CN,Foshan,Guangdong
3.1686,101.6980,MY,Kuala Lumpur,Kuala Lumpur
33.6367,114.7014,CN,Zhoukou,Henan
34.2610,117.1859,CN,Tongshan,Jiangsu
21.0000,105.8500,VN,Hanoi,Hà Nội
41.8375,-87.6866,US,Chicago,Illinois
32.0608,118.7789,CN,Nanjing,Jiangsu
35.2343,115.4796,CN,Heze,Shandong
18.5203,73.8567,IN,Pune,Mahārāshtra
35.4151,116.5871,CN,Jining,Shandong
4.7111,-74.0722,CO,Bogota,Bogotá
23.0225,72.5714,IN,Ahmedabad,Gujarāt
41.8025,123.4281,CN,Shenyang,Liaoning
-6.8161,39.2803,TZ,Dar es Salaam,Dar es Salaam
15.6031,32.5265,SD,Khartoum,Khartoum
-26.2044,28.0456,ZA,Johannesburg,Gauteng
32.8900,115.8140,CN,Fuyang,Anhui
22.3000,114.2000,HK,Hong Kong,
25.8310,114.9330,CN,Ganzhou,Jiangxi
34.4150,115.6560,CN,Shangqiu,Henan
38.3047,116.8387,CN,Cangzhou,Hebei
24.6500,46.7100,SA,Riyadh,Ar Riyāḑ
-33.4372,-70.6506,CL,Santiago,Región Metropolitana
33.0140,114.0220,CN,Zhumadian,Henan
21.2701,110.3575,CN,Zhanjiang,Guangdong
16.7950,96.1600,MM,Rangoon,Yangon
33.3500,120.1569,CN,Yancheng,Jiangsu
27.2840,105.2920,CN,Bijie,Guizhou
